ric,company_name,name_bhrc,url_bhrc,,,,,,,,,,,,,,
DBKGn.DE,Deutsche Bank AG,Deutsche Bank,https://www.business-humanrights.org/en/companies/deutsche-bank/,,,,,,,,,,,,,,
DCC.L,DCC PLC,DCC PLC,https://www.business-humanrights.org/en/companies/dcc-group/,,,,,,,,,,,,,,
DEMANT.CO,Demant A/S,N/A,N/A,,,,,,,,,,,,,,
DGE.L,Diageo PLC,Diageo,https://www.business-humanrights.org/en/companies/diageo/,,,,,,,,,,,,,,
DHER.DE,Delivery Hero SE,Delivery Hero,https://www.business-humanrights.org/en/companies/delivery-hero/,,,,,,,,,,,,,,
DHLn.DE,Deutsche Post AG,Deutsche Post,https://www.business-humanrights.org/en/companies/deutsche-post/,,,,,,,,,,,,,,
DIAS.MI,DiaSorin SpA,DiaSorin S.p.A.,https://www.business-humanrights.org/en/companies/diasorin-spa/,,,,,,,,,,,,,,
DIOR.PA,Christian Dior SE,N/A,N/A,,,,,,,,,,,,,,
DKSH.S,DKSH Holding AG,N/A,N/A,,,,,,,,,,,,,,
DLN.L,Derwent London PLC,Derwent London plc,https://www.business-humanrights.org/en/companies/derwent-london-plc/,,,,,,,,,,,,,,
DNB.OL,Dnb Bank ASA,DNB,https://www.business-humanrights.org/en/companies/dnb/,,,,,,,,,,,,,,
DNP.WA,Dino Polska SA,N/A,N/A,,,,,,,,,,,,,,
DPLM.L,Diploma PLC,Diploma PLC,https://www.business-humanrights.org/en/companies/diploma-plc/,,,,,,,,,,,,,,
DRX.L,Drax Group PLC,Drax,https://www.business-humanrights.org/en/companies/drax/,,,,,,,,,,,,,,
DSFIR.AS,DSM-Firmenich AG,DSM,https://www.business-humanrights.org/en/companies/dsm/,,,,,,,,,,,,,,
DSV.CO,DSV A/S,DSV A/S,https://www.business-humanrights.org/en/companies/dsv-as/,,,,,,,,,,,,,,
DTEGn.DE,Deutsche Telekom AG,Deutsche Telekom,https://www.business-humanrights.org/en/companies/deutsche-telekom/,,,,,,,,,,,,,,
DTGGe.DE,Daimler Truck Holding AG,Daimler Truck,https://www.business-humanrights.org/en/companies/daimler-truck/,,,,,,,,,,,,,,
EDEN.PA,Edenred SE,N/A,N/A,,,,,,,,,,,,,,
EDP.LS,EDP SA,Energias de Portugal (EDP),https://www.business-humanrights.org/en/companies/energias-de-portugal-edp/,,,,,,,,,,,,,,
EDPR.LS,EDP Renovaveis SA,N/A,N/A,,,,,,,,,,,,,,
ELE.MC,Endesa SA,Endesa (part of Enel),https://www.business-humanrights.org/en/companies/endesa-part-of-enel/,,,,,,,,,,,,,,
ELI.BR,Elia Group SA,N/A,N/A,,,,,,,,,,,,,,
ELIS.PA,Elis SA,N/A,N/A,,,,,,,,,,,,,,
ELISA.HE,Elisa Oyj,Elisa,https://www.business-humanrights.org/en/companies/elisa/,,,,,,,,,,,,,,
EMBRACb.ST,Embracer Group AB,Embracer Group,https://www.business-humanrights.org/en/companies/embracer-group/,,,,,,,,,,,,,,
EMG.L,Man Group PLC,Man Group,https://www.business-humanrights.org/en/companies/man-group/,,,,,,,,,,,,,,
EMII.MI,BPER Banca SpA,N/A,N/A,,,,,,,,,,,,,,
EMSN.S,Ems Chemie Holding AG,EMS Group,https://www.business-humanrights.org/en/companies/ems-group/,,,,,,,,,,,,,,
ENAG.MC,Enagas SA,Enagás,https://www.business-humanrights.org/en/companies/enagás/,,,,,,,,,,,,,,
ENEI.MI,Enel SpA,Enel,https://www.business-humanrights.org/en/companies/enel/,,,,,,,,,,,,,,
ENGIE.PA,Engie SA,Engie (formerly GDF Suez),https://www.business-humanrights.org/en/companies/engie-formerly-gdf-suez/,,,,,,,,,,,,,,
