ric,company_name,name_bhrc,company_id,url_bhrc,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
ADP.PA,Aeroports de Paris SA,Aéroports de Paris,755678,https://www.business-humanrights.org/en/companies/aéroports-de-paris-adp/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSGn.DE,Adidas AG,adidas,755798,https://www.business-humanrights.org/en/companies/adidas/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
ADSGn.DE,Adidas AG,adidas,755798,https://www.business-humanrights.org/en/companies/adidas/,lawsuits,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADSGn.DE,Adidas AG,adidas,755798,https://www.business-humanrights.org/en/companies/adidas/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,6,5,10,2
AEGN.AS,Aegon Ltd,Aegon,755732,https://www.business-humanrights.org/en/companies/aegon/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEGN.AS,Aegon Ltd,Aegon,755732,https://www.business-humanrights.org/en/companies/aegon/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEGN.AS,Aegon Ltd,Aegon,755732,https://www.business-humanrights.org/en/companies/aegon/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFXG.DE,Carl Zeiss Meditec AG,ZEISS,899364,https://www.business-humanrights.org/en/companies/zeiss/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFXG.DE,Carl Zeiss Meditec AG,ZEISS,899364,https://www.business-humanrights.org/en/companies/zeiss/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFXG.DE,Carl Zeiss Meditec AG,ZEISS,899364,https://www.business-humanrights.org/en/companies/zeiss/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AGES.BR,Ageas SA,Ageas (formerly Fortis),757037,https://www.business-humanrights.org/en/companies/fortis/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGES.BR,Ageas SA,Ageas (formerly Fortis),757037,https://www.business-humanrights.org/en/companies/fortis/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGES.BR,Ageas SA,Ageas (formerly Fortis),757037,https://www.business-humanrights.org/en/companies/fortis/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT.L,Ashtead Group PLC,Ashtead Group plc,900967,https://www.business-humanrights.org/en/companies/ashtead-group-plc/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT.L,Ashtead Group PLC,Ashtead Group plc,900967,https://www.business-humanrights.org/en/companies/ashtead-group-plc/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHT.L,Ashtead Group PLC,Ashtead Group plc,900967,https://www.business-humanrights.org/en/companies/ashtead-group-plc/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBG.I,AIB Group PLC,AIB UK Loan Management Limited,901855,https://www.business-humanrights.org/en/companies/aib-uk-loan-management-limited/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBG.I,AIB Group PLC,AIB UK Loan Management Limited,901855,https://www.business-humanrights.org/en/companies/aib-uk-loan-management-limited/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIBG.I,AIB Group PLC,AIB UK Loan Management Limited,901855,https://www.business-humanrights.org/en/companies/aib-uk-loan-management-limited/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR.PA,Airbus SE,Airbus SE,899723,https://www.business-humanrights.org/en/companies/airbus-se/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIR.PA,Airbus SE,Airbus SE,899723,https://www.business-humanrights.org/en/companies/airbus-se/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
