ric,company_name,name_bhrc,url_bhrc,company_id
FBK.MI,FinecoBank Banca Fineco SpA,Fineco,https://www.business-humanrights.org/en/companies/fineco/,757074
FER.MC,Ferrovial SE,Ferrovial,https://www.business-humanrights.org/en/companies/ferrovial/,757064
FLS.CO,FLSmidth & Co A/S,FLSmidth A/S,https://www.business-humanrights.org/en/companies/flsmidth-as/,903218
FMEG.DE,Fresenius Medical Care AG,Fresenius Medical Care,https://www.business-humanrights.org/en/companies/fresenius-medical-care/,757145
FORTUM.HE,Fortum Oyj,Fortum,https://www.business-humanrights.org/en/companies/fortum/,757035
FOUG.PA,Eiffage SA,Eiffage,https://www.business-humanrights.org/en/companies/eiffage/,756996
FRES.L,Fresnillo PLC,Fresnillo,https://www.business-humanrights.org/en/companies/fresnillo/,761360
G1AG.DE,GEA Group AG,GEA Group,https://www.business-humanrights.org/en/companies/gea-group/,757368
GALD.S,Galderma Group AG,Galderma,https://www.business-humanrights.org/en/companies/galderma/,761158
GASI.MI,Assicurazioni Generali SpA,Assicurazioni Generali,https://www.business-humanrights.org/en/companies/assicurazioni-generali/,755580
GAW.L,Games Workshop Group PLC,Games Workshop Group PLC,https://www.business-humanrights.org/en/companies/games-workshop-group-plc/,900484
GBFG.DE,Bilfinger SE,Bilfinger Berger,https://www.business-humanrights.org/en/companies/bilfinger-berger/,755963
GEBN.S,Geberit AG,Geberit,https://www.business-humanrights.org/en/companies/geberit/,757401
GETIb.ST,Getinge AB,Getinge AB,https://www.business-humanrights.org/en/companies/getinge-ab/,906855
GETP.PA,Getlink SE,Getlink SE,https://www.business-humanrights.org/en/companies/getlink-se/,899872
GFTU_u.L,Grafton Group PLC,Grafton Group plc,https://www.business-humanrights.org/en/companies/grafton-group-plc/,900006
GIVN.S,Givaudan SA,Givaudan,https://www.business-humanrights.org/en/companies/givaudan/,763965
GJFG.OL,Gjensidige Forsikring ASA,Gjensidige,https://www.business-humanrights.org/en/companies/gjensidige/,765630
GL9.I,Glanbia PLC,Glanbia Plc,https://www.business-humanrights.org/en/companies/glanbia-plc/,902920
GLEN.L,Glencore PLC,Glencore,https://www.business-humanrights.org/en/companies/glencore/,757200
